datetime_et,datetime_utc,outcome,open_prob,high_prob,low_prob,close_prob,open_american_odds,high_american_odds,low_american_odds,close_american_odds,open_decimal_odds,high_decimal_odds,low_decimal_odds,close_decimal_odds,volume_shares,trade_count
2026-03-25 22:45:00-04:00,2026-03-26 02:45:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-25 22:50:00-04:00,2026-03-26 02:50:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-25 22:50:00-04:00,2026-03-26 02:50:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-25 22:55:00-04:00,2026-03-26 02:55:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-25 22:55:00-04:00,2026-03-26 02:55:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-25 23:00:00-04:00,2026-03-26 03:00:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-25 23:00:00-04:00,2026-03-26 03:00:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-25 23:05:00-04:00,2026-03-26 03:05:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-25 23:05:00-04:00,2026-03-26 03:05:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-25 23:10:00-04:00,2026-03-26 03:10:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-25 23:10:00-04:00,2026-03-26 03:10:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-25 23:15:00-04:00,2026-03-26 03:15:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-25 23:15:00-04:00,2026-03-26 03:15:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-25 23:20:00-04:00,2026-03-26 03:20:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-25 23:20:00-04:00,2026-03-26 03:20:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-25 23:25:00-04:00,2026-03-26 03:25:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-25 23:25:00-04:00,2026-03-26 03:25:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-25 23:30:00-04:00,2026-03-26 03:30:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-25 23:30:00-04:00,2026-03-26 03:30:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-25 23:35:00-04:00,2026-03-26 03:35:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-25 23:35:00-04:00,2026-03-26 03:35:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-25 23:40:00-04:00,2026-03-26 03:40:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-25 23:40:00-04:00,2026-03-26 03:40:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-25 23:45:00-04:00,2026-03-26 03:45:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-25 23:45:00-04:00,2026-03-26 03:45:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-25 23:50:00-04:00,2026-03-26 03:50:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-25 23:50:00-04:00,2026-03-26 03:50:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-25 23:55:00-04:00,2026-03-26 03:55:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-25 23:55:00-04:00,2026-03-26 03:55:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 00:00:00-04:00,2026-03-26 04:00:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 00:00:00-04:00,2026-03-26 04:00:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 00:05:00-04:00,2026-03-26 04:05:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 00:05:00-04:00,2026-03-26 04:05:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 00:10:00-04:00,2026-03-26 04:10:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 00:10:00-04:00,2026-03-26 04:10:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 00:15:00-04:00,2026-03-26 04:15:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 00:15:00-04:00,2026-03-26 04:15:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 00:20:00-04:00,2026-03-26 04:20:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 00:20:00-04:00,2026-03-26 04:20:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 00:25:00-04:00,2026-03-26 04:25:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 00:25:00-04:00,2026-03-26 04:25:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 00:30:00-04:00,2026-03-26 04:30:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 00:30:00-04:00,2026-03-26 04:30:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 00:35:00-04:00,2026-03-26 04:35:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 00:35:00-04:00,2026-03-26 04:35:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 00:40:00-04:00,2026-03-26 04:40:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 00:40:00-04:00,2026-03-26 04:40:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 00:45:00-04:00,2026-03-26 04:45:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 00:45:00-04:00,2026-03-26 04:45:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 00:50:00-04:00,2026-03-26 04:50:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 00:50:00-04:00,2026-03-26 04:50:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 00:55:00-04:00,2026-03-26 04:55:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 00:55:00-04:00,2026-03-26 04:55:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 01:00:00-04:00,2026-03-26 05:00:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 01:00:00-04:00,2026-03-26 05:00:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 01:05:00-04:00,2026-03-26 05:05:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 01:05:00-04:00,2026-03-26 05:05:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 01:10:00-04:00,2026-03-26 05:10:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 01:10:00-04:00,2026-03-26 05:10:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 01:15:00-04:00,2026-03-26 05:15:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 01:15:00-04:00,2026-03-26 05:15:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 01:20:00-04:00,2026-03-26 05:20:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 01:20:00-04:00,2026-03-26 05:20:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 01:25:00-04:00,2026-03-26 05:25:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 01:25:00-04:00,2026-03-26 05:25:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 01:30:00-04:00,2026-03-26 05:30:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 01:30:00-04:00,2026-03-26 05:30:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 01:35:00-04:00,2026-03-26 05:35:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 01:35:00-04:00,2026-03-26 05:35:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 01:40:00-04:00,2026-03-26 05:40:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 01:40:00-04:00,2026-03-26 05:40:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 01:45:00-04:00,2026-03-26 05:45:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 01:45:00-04:00,2026-03-26 05:45:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 01:50:00-04:00,2026-03-26 05:50:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 01:50:00-04:00,2026-03-26 05:50:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 01:55:00-04:00,2026-03-26 05:55:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 01:55:00-04:00,2026-03-26 05:55:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 02:00:00-04:00,2026-03-26 06:00:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 02:00:00-04:00,2026-03-26 06:00:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 02:05:00-04:00,2026-03-26 06:05:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 02:05:00-04:00,2026-03-26 06:05:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 02:10:00-04:00,2026-03-26 06:10:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 02:10:00-04:00,2026-03-26 06:10:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 02:15:00-04:00,2026-03-26 06:15:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 02:15:00-04:00,2026-03-26 06:15:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 02:20:00-04:00,2026-03-26 06:20:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 02:20:00-04:00,2026-03-26 06:20:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 02:25:00-04:00,2026-03-26 06:25:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 02:25:00-04:00,2026-03-26 06:25:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 02:30:00-04:00,2026-03-26 06:30:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 02:30:00-04:00,2026-03-26 06:30:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 02:35:00-04:00,2026-03-26 06:35:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 02:35:00-04:00,2026-03-26 06:35:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 02:40:00-04:00,2026-03-26 06:40:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 02:40:00-04:00,2026-03-26 06:40:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 02:45:00-04:00,2026-03-26 06:45:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 02:45:00-04:00,2026-03-26 06:45:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 02:50:00-04:00,2026-03-26 06:50:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 02:50:00-04:00,2026-03-26 06:50:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 02:55:00-04:00,2026-03-26 06:55:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 02:55:00-04:00,2026-03-26 06:55:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 03:00:00-04:00,2026-03-26 07:00:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 03:00:00-04:00,2026-03-26 07:00:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 03:05:00-04:00,2026-03-26 07:05:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 03:05:00-04:00,2026-03-26 07:05:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 03:10:00-04:00,2026-03-26 07:10:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 03:10:00-04:00,2026-03-26 07:10:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 03:15:00-04:00,2026-03-26 07:15:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 03:15:00-04:00,2026-03-26 07:15:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 03:20:00-04:00,2026-03-26 07:20:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 03:20:00-04:00,2026-03-26 07:20:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 03:25:00-04:00,2026-03-26 07:25:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 03:25:00-04:00,2026-03-26 07:25:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 03:30:00-04:00,2026-03-26 07:30:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 03:30:00-04:00,2026-03-26 07:30:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 03:35:00-04:00,2026-03-26 07:35:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 03:35:00-04:00,2026-03-26 07:35:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 03:40:00-04:00,2026-03-26 07:40:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 03:40:00-04:00,2026-03-26 07:40:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 03:45:00-04:00,2026-03-26 07:45:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 03:45:00-04:00,2026-03-26 07:45:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 03:50:00-04:00,2026-03-26 07:50:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 03:50:00-04:00,2026-03-26 07:50:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 03:55:00-04:00,2026-03-26 07:55:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 03:55:00-04:00,2026-03-26 07:55:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 04:00:00-04:00,2026-03-26 08:00:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 04:00:00-04:00,2026-03-26 08:00:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 04:05:00-04:00,2026-03-26 08:05:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 04:05:00-04:00,2026-03-26 08:05:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 04:10:00-04:00,2026-03-26 08:10:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 04:10:00-04:00,2026-03-26 08:10:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 04:15:00-04:00,2026-03-26 08:15:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 04:15:00-04:00,2026-03-26 08:15:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 04:20:00-04:00,2026-03-26 08:20:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 04:20:00-04:00,2026-03-26 08:20:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 04:25:00-04:00,2026-03-26 08:25:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 04:25:00-04:00,2026-03-26 08:25:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 04:30:00-04:00,2026-03-26 08:30:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 04:30:00-04:00,2026-03-26 08:30:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 04:35:00-04:00,2026-03-26 08:35:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
2026-03-26 04:35:00-04:00,2026-03-26 08:35:00+00:00,Villanova Wildcats,0.001,0.001,0.001,0.001,99900,99900,99900,99900,1000.0,1000.0,1000.0,1000.0,0.0,0
2026-03-26 04:40:00-04:00,2026-03-26 08:40:00+00:00,Utah State Aggies,0.999,0.999,0.999,0.999,-99900,-99900,-99900,-99900,1.001,1.001,1.001,1.001,0.0,0
